y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,PLANT
0.8285,8.042396676831961,-1.3283648455027053,8.522952819967575,-8.174796182956298,-2.1724127620101883,3.9236711956885513,-9.606324081842667,-4.229578905708832,9.990753851237677,-2.3292655979464127,-1.151459535703796,-1.5599915899573116,A
0.8244,9.35896691912528,-1.1324370969987037,8.605217157376519,-8.174796182956298,-2.718252448854881,3.8853257990436783,-9.360796055381343,-4.419522747778718,11.229768931438347,-2.1055699269644803,-0.9726629673304137,-1.3325890473541684,A
0.8332,8.411427962719065,-0.10381641735269087,8.66006004898248,-8.174796182956298,-2.263386043150966,3.7511169107866564,-8.992504015689356,-2.3617977920217967,10.102988711584775,-2.235625549628394,-0.43627326221026763,-0.6503814195447388,A
0.8285,10.280107813713776,-0.348726102982693,8.852010169603348,-8.174796182956298,-1.6114108616420282,4.997342301744737,-9.596093747406778,-3.501460844441003,10.03043773345412,-1.928694280141559,-0.3468749780235766,-0.7261822670791198,A
0.8265,10.625908797895168,-0.20178029160469224,8.906853061209311,-8.174796182956298,-2.4756570324794653,4.498852145361512,-9.45286906530434,-3.3431743093827944,9.970251379931671,-1.8974809307022182,-0.07868012546350353,-0.4987797244759766,A
0.8256,11.101502450733447,0.19007520540331313,8.934274507012292,-8.174796182956298,-2.718252448854881,3.8853257990436783,-9.289183714330123,-3.089915853289626,11.042337692715666,-1.9130876054218886,0.010718158723187515,-0.27137718187283344,A
0.8254,11.536354804989113,-0.0058525431006895,8.769745832194404,-8.174796182956298,-2.2178994025805814,4.671406430263396,-9.493790403047893,-3.0266012392663426,11.251023956363612,-1.866267581262878,-0.07868012546350353,-0.27137718187283344,A
0.8287,11.495044922136533,0.777858450915321,8.797167277997387,-8.174796182956298,-2.1724127620101883,4.824788016842854,-9.606324081842667,-2.1401966429402695,10.526605349756245,-1.7934364325710874,0.18951472709656952,-0.19557633433845245,A
0.8307,12.122728551798943,1.0227681365453232,9.043960290224216,-8.174796182956298,-2.596954740667177,4.441334050394214,-8.532138966074374,-1.665337037765574,11.236943630572501,-1.7726275329448624,0.7259044322167157,0.259228750867834,A
0.8293,12.623526471647208,0.8758223251673224,9.12622462763316,-8.174796182956298,-2.1572505484867213,4.633061033618533,-8.378683949536047,-2.013567414893703,12.463081536261788,-1.762223083131747,0.36831129546995156,0.03182620826469079,A
